L3.3-3.5,1
L3.3-3.6,1
L3.3-3.7,1
L3.4-3.7,1
L3.5-3.7,1
L3.5-3.8,1
L3.5-3.9,1
L3.5-5,1
L3.6-4,1
L3.7-3.9,1
L3.7-4,1
L3.7-6,1
L3.7/3.8,1
L3.8-6,1
L3.8-an,1
L3.9-5,1
L3.9-6,1
L3.9/4,1
L4-an,1
L5-7,1
L6-melt breccia,1
LL?,1
LL3-5,1
LL3.00,1
LL3.1-3.5,1
LL3.7-6,1
LL3.9/4,1
LL3/4,1
LL4/5,1
LL5-7,1
LL6(?),1
LL7(?),1
Lodranite-an,1
Lunar (bas. breccia),1
Lunar (norite),1
Martian (chassignite),1
Martian (OPX),1
Mesosiderite-A2,1
Mesosiderite-B,1
Mesosiderite-C2,1
Mesosiderite?,1
Pallasite?,1
R,1
R3-4,1
R3.5-6,1
R3.8-5,1
R3.9,1
Stone-ung,1
